,Gene_Name,Product,Lineage,Tax ID,GO_Terms
3188,gdhA1,NADP-specific glutamate dehydrogenase A1,f__Methanomethylophilaceae,2517203,No GO terms found
3189,ddl,D-alanine--D-alanine ligase,f__Methanomethylophilaceae,2517203,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0008716 (D-alanine-D-alanine ligase activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:InterPro]
3190,trpE,Anthranilate synthase component 1,f__Methanomethylophilaceae,2517203,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3191,trpG,Anthranilate synthase component 2,f__Methanomethylophilaceae,2517203,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:TreeGrafter]
3192,trpD,Anthranilate phosphoribosyltransferase,f__Methanomethylophilaceae,2517203,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
3193,trpC,Indole-3-glycerol phosphate synthase,f__Methanomethylophilaceae,2517203,GO:0004425 (indole-3-glycerol-phosphate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004640 (phosphoribosylanthranilate isomerase activity) [Confidence: IEA:TreeGrafter]
3194,trpA,Tryptophan synthase alpha chain,f__Methanomethylophilaceae,2517203,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3195,trpB1,Tryptophan synthase beta chain 1,f__Methanomethylophilaceae,2517203,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3196,tdh,L-threonine 3-dehydrogenase,f__Methanomethylophilaceae,2517203,GO:0004412 (homoserine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0050661 (NADP binding) [Confidence: IEA:InterPro]
3197,metAA,Homoserine O-acetyltransferase,f__Methanomethylophilaceae,2517203,GO:0004414 (homoserine O-acetyltransferase activity) [Confidence: IEA:UniProtKB-EC]; GO:0008899 (homoserine O-succinyltransferase activity) [Confidence: IEA:InterPro]
3198,cysO_1,Protein CysO,f__Methanomethylophilaceae,2517203,No GO terms found
3199,hmgA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,f__Methanomethylophilaceae,2517203,GO:0004420 (hydroxymethylglutaryl-CoA reductase (NADPH) activity) [Confidence: IEA:InterPro]
3200,rsxB,Electron transport complex subunit RsxB,f__Methanomethylophilaceae,2517203,No GO terms found
3201,btuD_24,Vitamin B12 import ATP-binding protein BtuD,f__Methanomethylophilaceae,2517203,No GO terms found
3202,rtcB,tRNA-splicing ligase RtcB,f__Methanomethylophilaceae,2517203,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0003972 (RNA ligase (ATP) activity) [Confidence: IEA:TreeGrafter]; GO:0170057 (RNA ligase (GTP) activity) [Confidence: IEA:UniProtKB-EC]
3203,fhs,Formate--tetrahydrofolate ligase,f__Methanomethylophilaceae,2517203,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0004329 (formate-tetrahydrofolate ligase activity) [Confidence: IEA:InterPro]
3204,leuA,2-isopropylmalate synthase,f__Methanomethylophilaceae,2517203,GO:0003852 (2-isopropylmalate synthase activity) [Confidence: IEA:InterPro]
3205,vat_2,VCP-like ATPase,f__Methanomethylophilaceae,2517203,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
3206,purH,Bifunctional purine biosynthesis protein PurH,f__Methanomethylophilaceae,2517203,GO:0003937 (IMP cyclohydrolase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004643 (phosphoribosylaminoimidazolecarboxamide formyltransferase activity) [Confidence: IEA:UniProtKB-EC]
3207,rfcS_2,Replication factor C small subunit,f__Methanomethylophilaceae,2517203,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0003677 (DNA binding) [Confidence: IEA:InterPro]; GO:0003689 (DNA clamp loader activity) [Confidence: IEA:UniProtKB-UniRule]
3208,porB,Pyruvate synthase subunit PorB,f__Methanomethylophilaceae,2517203,GO:0019164 (pyruvate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0030976 (thiamine pyrophosphate binding) [Confidence: IEA:InterPro]
3209,apt_2,Adenine phosphoribosyltransferase,f__Methanomethylophilaceae,2517203,GO:0003999 (adenine phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-EC]
3210,cdr,Coenzyme A disulfide reductase,f__Methanomethylophilaceae,2517203,"GO:0031419 (cobalamin binding) [Confidence: IEA:UniProtKB-KW]; GO:0000166 (nucleotide binding) [Confidence: IEA:InterPro]; GO:0004748 (ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor) [Confidence: IEA:InterPro]"
3211,gpmA,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase,f__Methanomethylophilaceae,2517203,GO:0016868 (intramolecular phosphotransferase activity) [Confidence: IEA:InterPro]
3212,cfbC,Ni-sirohydrochlorin a%2Cc-diamide reductive cyclase complex%2C component CfbC,f__Methanomethylophilaceae,2517203,No GO terms found
3213,thrC,Threonine synthase,f__Methanomethylophilaceae,2517203,GO:0003941 (L-serine ammonia-lyase activity) [Confidence: IEA:TreeGrafter]; GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:InterPro]; GO:0004794 (threonine deaminase activity) [Confidence: IEA:TreeGrafter]; GO:0004795 (threonine synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3214,apeA,M18 family aminopeptidase 1,f__Methanomethylophilaceae,2517203,No GO terms found
3215,thyX,Flavin-dependent thymidylate synthase,f__Methanomethylophilaceae,2517203,GO:0050660 (flavin adenine dinucleotide binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0070402 (NADPH binding) [Confidence: IEA:TreeGrafter]; GO:0050797 (thymidylate synthase (FAD) activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0004799 (thymidylate synthase activity) [Confidence: IEA:TreeGrafter]
3216,leuC_1,3-isopropylmalate dehydratase large subunit,f__Methanomethylophilaceae,2517203,"GO:0003861 (3-isopropylmalate dehydratase activity) [Confidence: IEA:InterPro]; GO:0051539 (4 iron, 4 sulfur cluster binding) [Confidence: IEA:UniProtKB-KW]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]"
3217,ilvC,Ketol-acid reductoisomerase,f__Methanomethylophilaceae,2517203,GO:0016853 (isomerase activity) [Confidence: IEA:UniProtKB-KW]; GO:0004455 (ketol-acid reductoisomerase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-UniRule]
3218,btuD_30,Cobalamin import ATP-binding protein BtuD,f__Methanomethylophilaceae,2517203,No GO terms found
3219,iscS2,Cysteine desulfurase IscS 2,f__Methanomethylophilaceae,2517203,GO:0031071 (cysteine desulfurase activity) [Confidence: IEA:UniProtKB-EC]; GO:0051536 (iron-sulfur cluster binding) [Confidence: IEA:UniProtKB-KW]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3220,iscU2,Iron-sulfur cluster assembly scaffold protein IscU 2,f__Methanomethylophilaceae,2517203,"GO:0051537 (2 iron, 2 sulfur cluster binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0031071 (cysteine desulfurase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]; GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:UniProtKB-UniRule]"
3221,cysO_2,Protein CysO,f__Methanomethylophilaceae,2517203,No GO terms found
3222,pdxS,Pyridoxal 5,f__Methanomethylophilaceae,2517203,GO:0036381 (pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity) [Confidence: IEA:UniProtKB-UniRule]
3223,pdxT,Pyridoxal 5,f__Methanomethylophilaceae,2517203,GO:0004359 (glutaminase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0036381 (pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0016740 (transferase activity) [Confidence: IEA:UniProtKB-KW]
3224,mltF,Membrane-bound lytic murein transglycosylase F,f__Methanobacteriaceae,2159,No GO terms found
3225,malK_1,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
3226,upp,Uracil phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3227,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,f__Methanobacteriaceae,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
3228,fadB,Fatty acid oxidation complex subunit alpha,f__Methanobacteriaceae,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
3229,arnB_1,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,f__Methanobacteriaceae,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
3230,ogt,Methylated-DNA--protein-cysteine methyltransferase,f__Methanobacteriaceae,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3231,hcaB,3-phenylpropionate-dihydrodiol,f__Methanobacteriaceae,2159,No GO terms found
3232,proA,Gamma-glutamyl phosphate reductase,f__Methanobacteriaceae,2159,"GO:0008700 ((R,S)-4-hydroxy-2-oxoglutarate aldolase activity) [Confidence: IEA:UniProtKB-EC]; GO:0047443 (4-hydroxy-4-methyl-2-oxoglutarate aldolase activity) [Confidence: IEA:UniProtKB-EC]; GO:0008948 (oxaloacetate decarboxylase activity) [Confidence: IEA:TreeGrafter]"
3233,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
3234,leuB_2,3-isopropylmalate dehydrogenase,f__Methanobacteriaceae,2159,GO:0003862 (3-isopropylmalate dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004449 (isocitrate dehydrogenase (NAD+) activity) [Confidence: IEA:TreeGrafter]; GO:0000287 (magnesium ion binding) [Confidence: IEA:InterPro]; GO:0051287 (NAD binding) [Confidence: IEA:InterPro]
3235,pnp,Polyribonucleotide nucleotidyltransferase,f__Methanobacteriaceae,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
3236,prfA,Peptide chain release factor 1,f__Methanobacteriaceae,2159,"GO:0016149 (translation release factor activity, codon specific) [Confidence: IEA:UniProtKB-UniRule]"
3237,cobB,NAD-dependent protein deacetylase,f__Methanobacteriaceae,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
3238,malK_3,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
3239,msrB,Peptide methionine sulfoxide reductase MsrB,f__Methanobacteriaceae,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
3240,malK_1,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
3241,fadB,Fatty acid oxidation complex subunit alpha,f__Methanobacteriaceae,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
3242,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
3243,arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,f__Methanobacteriaceae,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
3244,cobB,NAD-dependent protein deacetylase,f__Methanobacteriaceae,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
3245,btuD_8,Vitamin B12 import ATP-binding protein BtuD,f__Methanobacteriaceae,2159,No GO terms found
3246,mltF,Membrane-bound lytic murein transglycosylase F,f__Methanobacteriaceae,2159,No GO terms found
3247,malK_3,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
3248,msrB,Peptide methionine sulfoxide reductase MsrB,f__Methanobacteriaceae,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
3249,ogt,Methylated-DNA--protein-cysteine methyltransferase,f__Methanobacteriaceae,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3250,trpE,Anthranilate synthase component 1,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3251,trpG,Anthranilate synthase component 2,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
3252,trpD,Anthranilate phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
3253,trpB,Tryptophan synthase beta chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3254,trpA,Tryptophan synthase alpha chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3255,aglJ,Glycosyltransferase AglJ,f__Methanobacteriaceae,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
3256,pnp,Polyribonucleotide nucleotidyltransferase,f__Methanobacteriaceae,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
3257,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,f__Methanobacteriaceae,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
3258,ispD_2,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,f__Methanobacteriaceae,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
3259,tdh_2,L-threonine 3-dehydrogenase,f__Methanobacteriaceae,2159,GO:0008743 (L-threonine 3-dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0050256 (ribitol-5-phosphate 2-dehydrogenase [(NAD(P)+] activity) [Confidence: IEA:InterPro]
3260,tatD_2,Tat-linked quality control protein TatD,f__Methanobacteriaceae,2159,GO:0004536 (DNA nuclease activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3261,upp,Uracil phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3262,dnaA,Chromosomal replication initiator protein DnaA,f__Methanobacteriaceae,2159,GO:0003688 (DNA replication origin binding) [Confidence: IEA:TreeGrafter]
3263,fni,Isopentenyl-diphosphate delta-isomerase,f__Methanobacteriaceae,2159,GO:0005506 (iron ion binding) [Confidence: IEA:InterPro]; GO:0004452 (isopentenyl-diphosphate delta-isomerase activity) [Confidence: IEA:UniProtKB-EC]; GO:0016491 (oxidoreductase activity) [Confidence: IEA:UniProtKB-KW]
3264,malK_1,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
3265,trpE,Anthranilate synthase component 1,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3266,trpG,Anthranilate synthase component 2,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
3267,trpD,Anthranilate phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
3268,arnC_3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,f__Methanobacteriaceae,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
3269,tatD_1,Tat-linked quality control protein TatD,f__Methanobacteriaceae,2159,GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]; GO:0004518 (nuclease activity) [Confidence: IEA:UniProtKB-KW]
3270,hcaB,3-phenylpropionate-dihydrodiol,f__Methanobacteriaceae,2159,No GO terms found
3271,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
3272,malK_3,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
3273,msrB,Peptide methionine sulfoxide reductase MsrB,f__Methanobacteriaceae,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
3274,trpA,Tryptophan synthase alpha chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3275,trpB,Tryptophan synthase beta chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3276,trpD,Anthranilate phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
3277,trpG,Anthranilate synthase component 2,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
3278,trpE,Anthranilate synthase component 1,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3279,btuD_1,Vitamin B12 import ATP-binding protein BtuD,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0016491 (oxidoreductase activity) [Confidence: IEA:UniProtKB-ARBA]
3280,arnB_1,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,f__Methanobacteriaceae,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
3281,btuD_5,Vitamin B12 import ATP-binding protein BtuD,f__Methanobacteriaceae,2159,No GO terms found
3282,msrB,Peptide methionine sulfoxide reductase MsrB,f__Methanobacteriaceae,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
3283,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
3284,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,f__Methanobacteriaceae,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
3285,pnp,Polyribonucleotide nucleotidyltransferase,f__Methanobacteriaceae,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
3286,tatD_2,Tat-linked quality control protein TatD,f__Methanobacteriaceae,2159,GO:0004536 (DNA nuclease activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3287,fadB,Fatty acid oxidation complex subunit alpha,f__Methanobacteriaceae,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
3288,mjaIIIR,Type-2 restriction enzyme MjaIII,f__Methanobacteriaceae,2159,No GO terms found
3289,rps9_2,30S ribosomal protein S9,f__Methanobacteriaceae,2159,GO:0003723 (RNA binding) [Confidence: IEA:TreeGrafter]; GO:0003735 (structural constituent of ribosome) [Confidence: IEA:InterPro]
3290,rplM,50S ribosomal protein L13,f__Methanobacteriaceae,2159,GO:0003729 (mRNA binding) [Confidence: IEA:TreeGrafter]; GO:0003735 (structural constituent of ribosome) [Confidence: IEA:InterPro]
3291,xerA_1,Tyrosine recombinase XerA,f__Methanobacteriaceae,2159,GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0009037 (tyrosine-based site-specific recombinase activity) [Confidence: IEA:UniProtKB-UniRule]
3292,upp,Uracil phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3293,dnaA,Chromosomal replication initiator protein DnaA,f__Methanobacteriaceae,2159,GO:0003688 (DNA replication origin binding) [Confidence: IEA:TreeGrafter]
3294,trpA,Tryptophan synthase alpha chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3295,trpB,Tryptophan synthase beta chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
3296,trpD,Anthranilate phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
3297,trpG,Anthranilate synthase component 2,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
3298,trpE,Anthranilate synthase component 1,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
3299,ogt,Methylated-DNA--protein-cysteine methyltransferase,f__Methanobacteriaceae,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3300,upp,Uracil phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
3301,ispD_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,f__Methanobacteriaceae,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
3302,tdh_2,L-threonine 3-dehydrogenase,f__Methanobacteriaceae,2159,GO:0008743 (L-threonine 3-dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0050256 (ribitol-5-phosphate 2-dehydrogenase [(NAD(P)+] activity) [Confidence: IEA:InterPro]
3303,fadB,Fatty acid oxidation complex subunit alpha,f__Methanobacteriaceae,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
3304,cobB,NAD-dependent protein deacetylase,f__Methanobacteriaceae,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
3305,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
